version,training_time,median error,90th percentile,mean error,corr
11,19.300649881362915,1.5911919971159516,2.0290424838382584,1.5422740507122041,0.861727236063018
12,24.081531286239624,1.1779244139308163,1.9344486470580038,1.2759887680812743,0.9603789749345522
13,21.836344242095947,1.1849198402883778,1.378404613961789,1.23101233812814,0.9837947672180619
14,21.67120099067688,1.1669631141742542,1.3426187329499084,1.190097821102116,0.9933092805030334
15,21.335331916809082,1.163222706472912,1.2560550288099426,1.1706778054217755,0.9864608146966797
16,21.478812217712402,1.1787936198671582,1.2728670364550325,1.1659044974567625,0.9867564565928455
17,21.083832502365112,1.2078952767165212,1.3334735026912468,1.2023830689730335,0.9865337487673619
