bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,79,6195933034023009986.pt,1.0379037022016036,1.04643276451869,1.0379037022016036
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,80,6195933034023009986.pt,1.0377193769524813,1.0464967028441094,1.0377193769524813
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,81,6195933034023009986.pt,1.0376189681773291,1.050492257533171,1.0376189681773291
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,84,6195933034023009986.pt,1.0375134536716684,1.0618519224543044,1.0375134536716684
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,85,6195933034023009986.pt,1.037372718949051,1.062247588375992,1.037372718949051
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,86,6195933034023009986.pt,1.0371685503289103,1.061346349683702,1.0371685503289103
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,87,6195933034023009986.pt,1.03688283997356,1.0580501481643898,1.03688283997356
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,88,6195933034023009986.pt,1.0366808048704734,1.055899069146702,1.0366808048704734
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,89,6195933034023009986.pt,1.0363368488420144,1.0485701461050727,1.0363368488420144
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,90,6195933034023009986.pt,1.036089890937601,1.0426936137160847,1.036089890937601
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,91,6195933034023009986.pt,1.0358804643632389,1.036496647682443,1.0358804643632389
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,92,6195933034023009986.pt,1.0357413750848292,1.040988432519636,1.0357413750848292
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,93,6195933034023009986.pt,1.035617670698957,1.0414274238657888,1.035617670698957
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,94,6195933034023009986.pt,1.0354843104746676,1.0423696455121167,1.0354843104746676
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,95,6195933034023009986.pt,1.0353619956855948,1.0450923270973522,1.0353619956855948
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,96,6195933034023009986.pt,1.0352111933585966,1.04505892001813,1.0352111933585966
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,97,6195933034023009986.pt,1.0350556723188515,1.0444214496453683,1.0350556723188515
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,98,6195933034023009986.pt,1.034866274897997,1.0401322272504774,1.034866274897997
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,99,6195933034023009986.pt,1.0347091996374285,1.0367006499235432,1.0347091996374285
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,6195933034023009986.pt,1.1143927574157717,1.1563493013381958,1.1143927574157717
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,42,6195933034023009986.pt,1.0998342037200928,1.1408042907714844,1.0998342037200928
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,43,6195933034023009986.pt,1.079350471496582,1.119093418121338,1.079350471496582
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,44,6195933034023009986.pt,1.0506824254989624,1.088876247406006,1.0506824254989624
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,45,6195933034023009986.pt,1.045910271044348,1.0526208702794262,1.045910271044348
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,50,6195933034023009986.pt,1.043729127621453,1.0714506766363407,1.043729127621453
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,51,6195933034023009986.pt,1.0427457700785143,1.0437956232934251,1.0427457700785143
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,59,6195933034023009986.pt,1.0390678511976756,1.041958332106988,1.0390678511976756
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,60,6195933034023009986.pt,1.0390054959560566,1.0585983357140658,1.0390054959560566
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,63,6195933034023009986.pt,1.0384049167477576,1.0658628017145673,1.0384049167477576
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,64,6195933034023009986.pt,1.0377849959961682,1.0517525595960813,1.0377849959961682
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,65,6195933034023009986.pt,1.0374733357745245,1.041180565795511,1.0374733357745245
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,66,6195933034023009986.pt,1.0372726177567366,1.0442483277200485,1.0372726177567366
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,71,6195933034023009986.pt,1.0365245048324812,1.0638356626852463,1.0365245048324812
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,72,6195933034023009986.pt,1.035883652227793,1.0541937325512716,1.035883652227793
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,73,6195933034023009986.pt,1.0355316578563332,1.0486851012551046,1.0355316578563332
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,74,6195933034023009986.pt,1.0351955953335257,1.0417000306267636,1.0351955953335257
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,75,6195933034023009986.pt,1.035023930744176,1.0418782717140207,1.035023930744176
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,76,6195933034023009986.pt,1.034842655446139,1.0412331909708197,1.034842655446139
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,77,6195933034023009986.pt,1.0346685771105957,1.040478637297119,1.0346685771105957
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,78,6195933034023009986.pt,1.03439073049572,1.0348976697197494,1.03439073049572
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,79,6195933034023009986.pt,1.0341816811261464,1.0354611996110477,1.0341816811261464
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,80,6195933034023009986.pt,1.034070915245675,1.0348584167903598,1.034070915245675
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,81,6195933034023009986.pt,1.0339836975850347,1.037411973892007,1.0339836975850347
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,82,6195933034023009986.pt,1.0339172772406506,1.0437240300941262,1.0339172772406506
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,84,6195933034023009986.pt,1.033854554660019,1.053489126874387,1.033854554660019
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,85,6195933034023009986.pt,1.033713003394764,1.0543785374160133,1.033713003394764
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,86,6195933034023009986.pt,1.033563773450975,1.0547732672329195,1.033563773450975
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,87,6195933034023009986.pt,1.0332726135003176,1.0516319015452784,1.0332726135003176
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,88,6195933034023009986.pt,1.0329170692755922,1.047252568975968,1.0329170692755922
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,89,6195933034023009986.pt,1.0324824465832751,1.0366721751992234,1.0324824465832751
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,90,6195933034023009986.pt,1.0322142141765585,1.0340268071364576,1.0322142141765585
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,91,6195933034023009986.pt,1.03200035377599,1.039881654100249,1.03200035377599
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,92,6195933034023009986.pt,1.0317877652486578,1.0408158282471447,1.0317877652486578
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,93,6195933034023009986.pt,1.031560843277685,1.0372144670880654,1.031560843277685
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,94,6195933034023009986.pt,1.031356019622491,1.0342269948358649,1.031356019622491
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,95,6195933034023009986.pt,1.0311500743471274,1.0327491728262943,1.0311500743471274
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,96,6195933034023009986.pt,1.03095104552923,1.0337541625055042,1.03095104552923
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,97,6195933034023009986.pt,1.0307491568758071,1.035996976455728,1.0307491568758071
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,98,6195933034023009986.pt,1.030622015604959,1.041296484114644,1.030622015604959
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,99,6195933034023009986.pt,1.0304342010626495,1.0421961923243463,1.0304342010626495
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,1483496344561016060.pt,1.0786144733428955,1.1045843362808228,1.0786144733428955
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,42,1483496344561016060.pt,1.0437090396881104,1.0683436393737793,1.0437090396881104
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,43,1483496344561016060.pt,1.0293950612082767,1.0351723586466846,1.0293950612082767
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,49,1483496344561016060.pt,1.0275316106850303,1.0418647529317848,1.0275316106850303
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,57,1483496344561016060.pt,1.0242853572281294,1.027366806920545,1.0242853572281294
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,63,1483496344561016060.pt,1.0228921525188226,1.0307358656837833,1.0228921525188226
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,73,1483496344561016060.pt,1.0218401578856535,1.0236958628454411,1.0218401578856535
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,74,1483496344561016060.pt,1.0216463709441737,1.0295772143425792,1.0216463709441737
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,75,1483496344561016060.pt,1.0214318560036957,1.0242405640732537,1.0214318560036957
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,76,1483496344561016060.pt,1.0212410595605466,1.025578759244873,1.0212410595605466
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,77,1483496344561016060.pt,1.0212230654613632,1.0363512033632687,1.0212230654613632
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,85,1483496344561016060.pt,1.0202797357590716,1.034051102486287,1.0202797357590716
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,86,1483496344561016060.pt,1.02001466080872,1.028545740694459,1.02001466080872
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,87,1483496344561016060.pt,1.0198173136644089,1.0243773383127155,1.0198173136644089
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,88,1483496344561016060.pt,1.0196374108830284,1.0222619662769474,1.0196374108830284
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,89,1483496344561016060.pt,1.0194961368736588,1.021920324509793,1.0194961368736588
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,90,1483496344561016060.pt,1.0194043199685725,1.0268040920139871,1.0194043199685725
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,91,1483496344561016060.pt,1.0193541885021904,1.032611854184314,1.0193541885021904
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,93,1483496344561016060.pt,1.0191722649314676,1.0338061698637024,1.0191722649314676
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,94,1483496344561016060.pt,1.0190193573033492,1.0264571522585773,1.0190193573033492
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,95,1483496344561016060.pt,1.0188953874489288,1.025364541646353,1.0188953874489288
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,96,1483496344561016060.pt,1.0187181591824055,1.0213919090930277,1.0187181591824055
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,97,1483496344561016060.pt,1.0186157688975765,1.0229345414137927,1.0186157688975765
